instance,objective,solve_time_sec,bnb_nodes
1,8.177533,8.5,493
2,9.509546,9.75,413
3,6.845535,5.703,107
4,11.507556,23.125,942
5,8.843546,9.921,96
6,17.501599,35.047,708
7,19.499609,20.047,1067
8,18.167607,23.453,242
9,16.835594,19.953,574
10,16.835597,18.719,633
11,24.161629,25.578,324
12,24.827639,36.375,1066
13,21.497611,25.922,403
14,24.827644,38.875,962
15,22.829633,35.078,890
16,36.149704,56.406,885
17,34.817695,53.094,432
18,26.159639,31.39,630
19,30.821661,54.172,426
20,30.821669,55.156,1149
