instance,objective,solve_time_sec,bnb_nodes
21,33.743712,10.797,4549
22,35.09043,5.36,350
23,36.671848,4.765,608
24,33.695697,4.828,891
25,36.707283,5.188,1489
26,43.550955,4.922,439
27,47.191008,3.625,147
28,42.886322,5.765,1443
29,48.724259,5.359,1718
30,47.142412,6.25,3543
31,54.706793,4.766,597
32,58.610347,5.14,1237
33,57.692589,3.5,306
34,61.931075,3.063,374
35,52.755499,4.172,637
36,63.980304,6,1396
37,66.753321,3.687,298
38,63.94601,4.75,833
39,67.596135,2.844,269
40,66.191875,2.859,112
